Product Names,Product URLs,Product Prices,Product Rating,No. Of Review,Description,ASIN,Manufacturer
"| Weight Polyester Bagpack for Men and Women, Spacious Shoulder",https://www.amazon.in/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_52?keywords=bags&qid=1690393320&sr=8-52,3690.0,4.3,19.0,"Durability & Design: 30L Laptop Backpack 2 Large Compartments, 1 Easy access front Pocket with 2 Mesh Side Bottle Pocket. Fabric: Light weight polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all boys, girls, men and women.<br> <br>    FEATURES: Laptop Compartment (can carry laptops of size 15.6 & 17 inches), Reflective Strip makes it very useful for Bike Riders at Night.<br> <br>    Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.<br> <br>    FABRIC : Polyester, Closure Type: Zipper, Gender: Unisex Size: 18 inch X 13 inch X 7.5 inch.<br> <br>    Compartment Description: Up To 17 Inches; Pattern Name: Self Design; Warranty Description: Warranty Type: Manufacturer; Age Range Description: Kid; Pocket Description: Utility Pocket; Special Features: Back Padding <br>",B088B4P6ZW,Martucci
"for College, Office, Travelling and Camping",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MzkxMjYzNDYxMTA0ODcwOjE2OTAzOTMzMjA6c3BfYnRmOjIwMTYyNTQzNzA3MDk4OjowOjo&url=%2FWALKENT-Stylish-Spruce-Waterprrof-Resistant%2Fdp%2FB0BJ982TQN%2Fref%3Dsr_1_53_sspa%3Fkeywords%3Dbags%26qid%3D1690393320%26sr%3D8-53-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,849.0,4.1,33.0,,,
Arctic Fox 15 Liters Draw String,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MzkxMjYzNDYxMTA0ODcwOjE2OTAzOTMzMjA6c3BfYnRmOjIwMDk3NjEyMjMxNjk4OjowOjo&url=%2Fuppercase-Backpack-1800EBP1-resistant-sustainable%2Fdp%2FB0B9T4YDPX%2Fref%3Dsr_1_54_sspa%3Fkeywords%3Dbags%26qid%3D1690393320%26sr%3D8-54-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,319.0,3.8,1513.0,,,
Lavender Backpack,https://aax-eu.amazon.in/x/c/ROWHCQjCTSDJapmemAFQ8oEAAAGJk0scXgMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICBmB-Zk/https://www.amazon.in/VISMIINTREND-Everyday-Backpack-Shoulder-Grey/dp/B0B1QJ6S64/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.880c6186-3832-495e-9caa-7ecfb2f5e88c%3Aamzn1.sym.880c6186-3832-495e-9caa-7ecfb2f5e88c&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0B1QJ6S64&pd_rd_r=ffe99ce8-1c9e-4f71-a9ca-f3c212af7611&pd_rd_w=YrNXu&pd_rd_wg=Ngrht&pf_rd_p=880c6186-3832-495e-9caa-7ecfb2f5e88c&pf_rd_r=26BYQZZ3S0ZPZAZ08X2F&qid=1690393320&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sr=1-33-06195d41-65bd-48f4-8e70-03d97b6094ec,949.0,4.0,7.0,"Care Instructions: Wipe with Damp Cloth    Stylish Women Fashion Backpack : Vismiintrend Vegan Leather Backpacks Handbags Purse is made of high quality water resistant soft PU leather, metal accessories and fabric lining, which is luxurious in looks and durable.    Size: : 29 x (W) 11 x (H) 30 CM, 450 Grams.Fits Apple Macbook Pro laptop 13 inch; Lightweight; Comfortable to carry everywhere you want;Gift for Women; Rakhi Gift for Sisters; Gift for Sister; Gift for Wife; College; Office Bag for Women;    3 way Carry : You can carry it as a single-shoulder bag or backpack or Tote Purse as there is a removable short shoulder strap; Convertible; Bagpack for Girls; Bagpack for Women; Backpack Handbags;    Made in India ; Color Olive Green; Opal Black; Tan Brown; Coffee Brown; Grey; Blue; Wine;Blush Pink; Bags for girls, Bags for Women; Rakhi Gift for Sisters; Gifts for women; 13 Inch Laptop bag for women ; Stylish bagpack; Office Bags for Women;",B0B1QJ6S64,Beena Internationals
POLESTAR Vintage 15.6 inch 32 LTR Casual Laptop Backpack/Office,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDY5NjMyOTI5NjE2MjEyOjE2OTAzOTMzMjI6c3BfYXRmX25leHQ6MjAxNTk1MzI1NDI2OTg6OjA6Og&url=%2FEUME-Tourismo-Backpack-Resistance-15-6-inch%2Fdp%2FB0B4JNV37M%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dbags%26qid%3D1690393321%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,499.0,4.5,93.0,,,
/School,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDY5NjMyOTI5NjE2MjEyOjE2OTAzOTMzMjI6c3BfYXRmX25leHQ6MjAxMzQwNDc5MTM1OTg6OjA6Og&url=%2FSkating-Resistant-College-Backpack-Computer%2Fdp%2FB09791YC3D%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dbags%26qid%3D1690393321%26sr%3D8-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,199.0,4.0,2265.0,,,
/College,https://www.amazon.in/COSMUS-Multipurpose-Backpack-Bag-compartment/dp/B078JVT384/ref=sr_1_51?keywords=bags&qid=1690393321&sr=8-51,843.0,4.0,70.0,"Care Instructions: Hand Wash Only    Large multi-compartment backpack with a padded sleeve for laptops, Holds up to 15 inches Laptop<br> <br>    Water Resistance PU Coated Durable Fabric, with padded back section for comfortable carry<br> <br>    Front Organizer compartments for pens, keys, and cell phone<br> <br>    Age Range Description: Adult; Strap Type: Cross-Body; Warranty Description: Warranty: 1 Year Warranty Against Manufacturing Defects.; Pattern Name: Solid; Closure Type: Zipper; Water Resistance Level: Water Resistant; Pocket Description: Utility Pocket <br>",B078JVT384,Cosmus
/Business,https://www.amazon.in/Half-Moon-Laptop-Bag-Compartment/dp/B0C1NZLF67/ref=sr_1_52?keywords=bags&qid=1690393321&sr=8-52,248.0,3.9,6127.0,"Trendy Design: The Laptop bag for men features a unique, trendy design that makes it stand out from other laptop backpacks. It's perfect for individuals who want to express their style while carrying their laptop.    Secure Laptop Compartment: The 17-inch padded compartment in laptop backpack for men / Laptop bag for men provides secure storage for your device. The padding ensures that your laptop is protected from scratches and bumps while you're on the move.    Front Pockets: The small pockets in College Bags for men / College bag for women in Second Compartment provide easy access to smaller items like your phone, wallet, and keys. These pockets are convenient and ensure that you don't have to dig through the main compartment to find what you need.    Strong Built: The Laptop bag for men is built with strong zippers and stitching that can withstand daily wear and tear. This ensures that your belongings are kept safe and secure in college bag for girls and the backpack for men can hold up to daily use.    Comfortable to Wear: The Laptop bag for men / backpack for men is designed for maximum comfort. The padded shoulder straps and back panel provide added comfort, reducing strain on your back and shoulders while carrying the laptop backpack. This makes it easy to wear the backpack for extended periods of time, whether you're commuting to work or school or going on a trip.",B0C1NZLF67,Half_Moon
"/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVK6BWC/ref=sr_1_53?keywords=bags&qid=1690393321&sr=8-53,549.0,4.5,683.0,"Care Instructions: Hand Wash Only    MULTI-FUNCTION COMPARTMENT: ZIPLINE backpack for men features with multiple storage compartments and for additional supplies and accessories such as your, iPhone, iPad, pen, keys, wallet, books, clothes, bottle, passport and more.    DURABLE MATERIAL: The school bag for boys is made up of superior quality which is durable, eco-friendly waterproof and anti-scratch polyester and featuring a reinforced bottom to withstand heavy use, perfect for business, travel, school and other outdoor activities.    COMFORTABLE DESIGN: Our school bag for boys ""S"" Curve is adjustable, heavily padded shoulder straps and back panel make the school bag more comfortable to wear even when loaded with all your gear; Compact: Backpack for men has a roomy three compartment, front zipper pockets to hold small accessories, one internal security zippered pocket for valuable items and side pockets for water bottle or umbrella and thus it is best school bags for boys.    Size:18*13*9 inch(L*W*H), Capacity: The college bag has capacity of 36.5L which is bigger than others of the same style. Good size for school bags, college bag, camping, travel, shopping, hiking, climbing, vintage backpack for men and women.; Age Range Description: Kid; Special Features: Water Bottle Umbrella Pouch; Pocket Description: Utility Pocket    Compartment Description: The backpack for men is not laptop compatible; Warranty Description: 1 Year From The Date Of Purchase, Water Resistance Level: Waterproof",B07XVK6BWC,Atulitu Agency
Northzone Lightweight school,https://www.amazon.in/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y5S6C2P/ref=sr_1_54?keywords=bags&qid=1690393321&sr=8-54,3190.0,4.3,334.0,"Care Instructions: Wipe with Damp Cloth    PERFECT SIZE & STORAGE SPACE: This laptop backpack is the ideal size to store your 15.6-inch, 15-inch or 14-inch laptop as well as other items. Convenient main compartments for clothes, folders, and books, an iPad, and other items. Keep your phone and money in the pockets. School bag for girls / bags for women / kids school bag / college bags for boys / laptop backpack    Front two slanted pockets on Tabelito laptop backpacks are ideal for quick items like your work ID, powerbank, phone charger and cables or wallet. Your belongings are organised with keys for an open door, two side pockets for a water bottle, and a small umbrella. It can be used as a backpack for males, a women's backpack or a school bag for girls. You can give it to males as a present. luggage for travel    COMFORTABLE & STURDY: Made of WATER RESISTANT and DURABLE ECO-FRIENDLY nylon fabric with Two PADDED shoulder straps, reduce shoulder stress, basic but comfortable back design offers your wonderful back support, making your working, trip, and travelling more convenient wherever you go. You might use it as a men's office bag.    Light-weight carrying and ideal for weekend excursions, back-to-school, outdoor activities, and college bags for men, among other things;    Sized at 20 x 12.2 x 5.7 inches, this multipurpose bag is the ideal size to tuck under your seat while flying or on a business trip. Ideal for college back to school, conveniently storable. A excellent option for a work laptop bag, a business laptop bag, a laptop bag for men and women, as well as a gift bag for travellers, boyfriends, girlfriends, and men.",B08Y5S6C2P,Tabelito Trade India
Backpacks for Boys Girls Stylish men and women Casual Travel Laptop,https://www.amazon.in/Bennett-15-6-inch-College-Repellent-Backpack/dp/B09WZHX3B1/ref=sr_1_55?keywords=bags&qid=1690393321&sr=8-55,1200.0,4.3,2489.0,"✔ PERFECT SIZE & STORAGE SPACE: Laptop backpack with perfect size to hold things and your 15.6 inch laptop or 15 inch, 14 inch Laptop. Convenient main pockets for iPad, charger, binders, books, clothes, ect. Inside pockets keep your wallet, phone. school bag for girls / bags for women / kids school bag / college bags for boys / laptop backpack .    ✔ COMFY & STURDY: Made from WATER RESISTANT and DURABLE ECO-FRIENDLY nylon fabric with Two PADDED shoulder straps, relieve the stress of shoulder, simple but comfortable back design offer your great back support, making your working, journey and travelling more convenient wherever you go. you can use it such as office bag for men . office bag for women .    ✔ Light-weight Carrying and perfect for business traveling or trip, weekend getaways, back to school, outdoor activities and college bag for men etc;    ✔ MULTIPURPOSE & SIZE: 20 x 12.2 x 5.7 Inch, perfect to throw under your seat on an airplane when you are traveling or on business trip. Suitable for back to school college, can be easily stored. Good choose for a business laptop backpack, work backpack, laptop bag for men and women, also will be a good gifts for women, gifts for men, gifts for boyfriend or girlfriend and gift bag for travelers.    ✔ MADE IN INDIA: Bennett Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks.The Bennett casual laptop backpack comes with 6 month warranty.    ✔ OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Top Handle , Padded Laptop Compartment (can carry laptops of size 13, 14 & 15.6 inches).    
 See more product details",,
College office (Black) 40L,https://www.amazon.in/Classic-Leather-Laptop-Backpack-LBPCLSLTH1901/dp/B07G4CYC74/ref=sr_1_56?keywords=bags&qid=1690393321&sr=8-56,1350.0,4.0,11893.0,"Care Instructions: Hand Wash Only    Outer material: synthetic, color: tan; Waterproof    Capacity: 20 liters; Weight: 560 grams; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)    Number of compartments: 2    Laptop compatibility: yes, laptop size: 16strap type: adjustable    Age Range Description: Adult; Special Features: Back Padding; Pocket Description: Utility Pocket; Closure Type: Zipper    Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,2 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot .",B07G4CYC74,Gear Merchandise PVT LTD
F Gear Luxur Brown 25 liter Laptop Backpack (2404),https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_57?keywords=bags&qid=1690393321&sr=8-57,1450.0,3.0,51.0,"30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.    Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics. Compatible Laptop Size 16 inch    Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.    Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks    1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty    Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.    
 See more product details",,
Gear 25L Suave Business Anti-Theft Office Laptop Backpack F0R Men/Women (Black),https://www.amazon.in/STRABO-Cooper-Laptop-Bag-Capacity/dp/B0BX9SVT1D/ref=sr_1_58?keywords=bags&qid=1690393321&sr=8-58,387.0,2.0,71.0,Care Instructions: Hand Wash Only    One Main compartment and Laptop Compartment with front pocket & 2 side bottle sleeves    Dimensions 45 x 32 x 17 cm    Capacity 20L    Premium YKK zippers,B0BX9SVT1D,STRABO BAGS AND ACCESSORIES LLP
"WALKENT 3 in 1 Expandable 17"" Laptop",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDY5NjMyOTI5NjE2MjEyOjE2OTAzOTMzMjI6c3BfbXRmOjIwMTE3MDM1NzUyNzk4OjowOjo&url=%2FBUSINESS-ANTI-THEFT-OFFICE-LAPTOP-BACKPACK%2Fdp%2FB0B466YD7L%2Fref%3Dsr_1_59_sspa%3Fkeywords%3Dbags%26qid%3D1690393321%26sr%3D8-59-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,437.0,1.0,70.0,,,
"for Men with Front Chest Straps, Flap Cover & More (Model Macho, 39 Liters, Black)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDY5NjMyOTI5NjE2MjEyOjE2OTAzOTMzMjI6c3BfbXRmOjIwMTUzNTUyNzQyNzk4OjowOjo&url=%2FWALKENT-Bagpack-Waterproof-Function-Pockets%2Fdp%2FB09BVWXBFG%2Fref%3Dsr_1_60_sspa%3Fkeywords%3Dbags%26qid%3D1690393321%26sr%3D8-60-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,387.0,4.4,3104.0,"Original Arctic Hunter Aura Laptop Backpack is a versatile accessory designed for modern professionals and students alike, offering a stylish and practical solution to carrying your laptop and other essentials    Made with high-quality materials, the backpack features a water-resistant and scratch-resistant outer that keeps your belongings safe and dry, even in the toughest of weather conditions    With multiple compartments, including a cushioned laptop compartment that is ideal for laptops up to 15.6 inches and a tablet compartment for devices up to 10.2 inches, the backpack provides ample space for all your daily essentials    The backpack is designed for maximum comfort, with cushioned and padded shoulder straps and back that ensure you can carry your belongings with ease, even during extended periods of use    Whether you need a reliable office bag or a durable backpack for college, the Arctic Hunter Aura Laptop Backpack is the perfect choice, offering a large storage capacity, anti-theft pockets, side bottle pockets, and an external USB port for added convenience    
 See more product details",,
Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Black,https://www.amazon.in/Waterproof-Backpack-Students-adjustable-Compartment/dp/B09V5HRYR7/ref=sr_1_61?keywords=bags&qid=1690393321&sr=8-61,2499.0,3.4,1569.0,"Care Instructions: Hand Wash Only    It is sample in look but is very comfortable and it of high quality || ALL MATERIAL USED ARE MADE IN INDIA || Can be used as a laptop bag , school bag , casual backpack , college bag , backpack , bags , bagpack etc<br> <br>    Capacity: 35Litres; Quality: best quality as it is perfectly designed and made from high quality lightweight nylon and double dotted waterproof polyester.<br> <br>    This backpack is made to used for boys, girls, men, women and kids. This bag is very good for boys and girls of age because it has enough space to carry all books and accessories and it is very comfortable and stylish.<br> <br>    Two Main Compartment And One Extra Compartment Offers Space For Magazines, Notepad,Other Laptop Accessories, Stationery items || Eco-friendly, Durable, Lightweight, Flexible And Star Water-Resistant Material Helps To Keep The Interior Dry with a high quality material that keep Dust away.; Adjustable Padded Shoulder straps / 2 Bottle holders / Padded Top-handle / Reflector Logo<br>; Age Range Description: Adult; Compartment Description: Greater Than 17 Inches; Closure Type: Zipper<br> <br>    Special Features: Magazine Holder; Pattern Name: Solid <br>",B09V5HRYR7,Capriff
Zipline Unisex Casual Polyester 36 L Backpack School,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_62?keywords=bags&qid=1690393321&sr=8-62,521.0,4.2,1343.0,"Care Instructions: Hand Wash Only    Spacious : This Rucksack bag is lightweight and comes with Three main compartment having the capacity of approx 45 Ltr, big enough to carry laptop of all sizes, books, clothes, camping gear; 3 main compartments to store all your essentials, A back mesh pocket to carry extra documents and numerous small pocket to carry all your small accessories    CAPACITY & SIZE : 45 Litres; Weight: 0.9 kg ; Dimensions: 22.9cm x 36.8cm x 50.8cm ; Utility : Ideal for Travel, Hiking, Trekking & Camping, Day trip.; HIGH QUALITY : A major problem in many rucksack and travelling bags is that it get torn between your journeys or within a short period of time but this Rucksack which is made from high Quality materials, is stitched properly and has bartacks on pressure points is strong enough to hold all your items without any problem    FEATURES : Back Padding, Chest Strap, Earphone Cord Support, Unique Design, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Padded Shoulder Strap , Breathable Mesh etc.; Closure Type: Zipper; Age Range Description: Adult    COMFORTABLE TRAVEL : Backside Honeycomb padded structure which helps you travelling comfortably all day long, provides proper air circulation while in summer also to prevent you feel more relax. Chest Strap, Hip Belt, Straight Shaped Straps structure which fits on your shoulders very comfortably makes you lift heavy objects easily.    12 Months Limited Brand Warranty",B098QFF5TJ,Wesley
Women Men Boys Girls Children Daypack College,https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B09GG53CSL/ref=sr_1_63?keywords=bags&qid=1690393321&sr=8-63,1375.0,3.6,845.0,"Care Instructions: Hand Wash Only    SPACIOUS AND LIGHTWEIGHT: Light weight & spacious laptop bag for men comes with 3 compartments. One is for carrying laptop inside (Upto 17""), with padding for safety, and space for laptop accessories like charger, etc. Second compartment of office bag for men is for books, files & all your day to day essentials. And third compartment of backpack for men is for your extra stuff. Laptop backpacks for men has provision for holding bottles on both sides & has padded shoulder straps for your comfort    COMFORT WITH QUALITY: This backpack for men has Wide, Padded & Adjustable shoulder straps & Padded Back for comfort in carrying heavy items. The laptop bag for men is stitched properly & Bartacks on every pressure point for extra durability. The office bag for men are made with strong yet light weight polyester fabric with heavy zippers. College Bags for men also comes with a Rain cover so that you can travel during rainy season without any problem. This laptop bag can be used by everyone.    SMART & TRENDY LOOKS: This Large backpack for men is smart, trendy and stylish in looks. The multipurpose college bags for men looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack. PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm    ENDURING & LONG LASTING: This trekking backpack for men/laptop bag for men is made up of highly durable material, which makes it suitable for all weather conditions including rains & extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself. INTERNAL ORGANISER: This backpack has an Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items.    OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Rain Cover , Internal Organiser, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Reflector Logo.",B09GG53CSL,Half_Moon (AB Amazing Bags)
Book School Sports,https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3SPN16/ref=sr_1_64?keywords=bags&qid=1690393321&sr=8-64,649.0,4.0,3259.0,"Care Instructions: Hand Wash Only    COMPATIBLE WITH 15.6 INCH LAPTOP”: The Northzone Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 499g    HIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items    CONVENIENT TRAVEL"" Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use    CONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.    HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop.",B0BL3SPN16,Northzone
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BHX7GY16/ref=sr_1_65?keywords=bags&qid=1690393321&sr=8-65,843.0,4.0,1258.0,"This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.    Carry your books and belongings with ease with this comfortable and durable bagpack! Featuring wide, padded, and adjustable shoulder straps and a padded back, this backpack can handle even heavy loads. Made with strong yet lightweight polyester fabric and heavy-duty zippers, it's built to last. Plus, it comes with a rain cover, perfect for those rainy school or college days.    Make a statement on your next trip with our smart and stylish backpack! With a trendy and athletic design, this multipurpose backpack is the perfect combination of style and adventure. Your trips, travel experience cannot get completed without this amazing trekking backpack.    Experience enduring and long-lasting performance with our backpack! Made with highly durable material, this backpack is suitable for all weather conditions, including heavy rains and extreme heat. It not only keeps your belongings safe but also resists damage to itself. So, don't settle for anything less.    FEATURES: Rain Cover, upto 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc",B0BHX7GY16,Amazing Bags
ADISA 32L Large Laptop Backpack Office,https://www.amazon.in/DailyObjects-Lush-Midnight-Trapeze-Crossbody/dp/B082HZVTRG/ref=sr_1_66?keywords=bags&qid=1690393321&sr=8-66,549.0,3.9,1079.0,"✅ MATERIAL: This sling bag for women made of durable vegan leather with an HD quality design print which does not fade away and which makes it look elegant, modern & classy to suit your lifestyle needs. Inner Polyester lining for easy accessibility and storage.    ✅ STRONG ZIPPER BAG: Genuine YKK zipper for easy opening and closing of the bag and for absolute safety and security of the accessories. The zip is strong, durable and long-lasting which provides for an effective use of the bag.    ✅ LARGE STORAGE SPACE: Plenty of room for keeping your necessities & accessories - cash, cards, keys, cosmetic, make-up tit bits, hairbrush, wallet, sunglasses, mobile phone charger etc all in one place which makes you feel stress-free while travelling.    ✅ DETACHABLE STRAP: Detachable and adjustable vegan leather strap which provides comfort & convenience while walking or travelling. It is soft, smooth and strong to hold sufficient weight and helps to reduce the pressure on your shoulders. Footed Bottom.    ✅ MADE IN INDIA: Handcrafted in India, from raw material to production, this leather bag for women or for girls is a 100% Made in India product.",B082HZVTRG,No
College Travel Back Pack with rain Cover (Black),https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QL8633G/ref=sr_1_67?keywords=bags&qid=1690393321&sr=8-67,848.0,4.4,4046.0,"Innovative Design: AirCase Laptop Backpack is made of Premium Vegan Leather for your 15.6 Inch Laptop. This Laptop Backpack has 2 Front Pocket and 2 Main Compartment for Laptop, Tablet and other Main compartment for wallets dairy, clothes, etc. There is two way Cortical Tail Zipper with leather pull tail, Fashionable and Novel, keeping up with the current trend.    Large Storage: There is 2 Main Compartment One for 15.6 inch Laptop, Tablet with a secure Velcro closure and other for main compartment for your other belonging like Cloth, Wallet, Book, Diary, etc. There is also 2 front zipper pocket for Mobile, Charger, Power Adapter, Cable, Power Bank, Keys etc.convenient to carry at school college office travelling for students boys girls    Light weight & Durable: It is made of Premium Vegan Leather for 15.6 inch laptop. Ruggedized water-resistant base helps to protect from the elements. Water Resistant Base which protect your belonging from getting wet. waterproof latest smart stylish spacious rucksack luggage tourist travel bagpack.    Shoulder Straps: Breathable Mesh Padding at back which is design for back relief and shoulder straps for extra comfort with adjustable side straps for a better fit.    Specifications:- Work with -15.6"" Laptops and Under, CAPACITY- 22L, DIMENSIONS – 46-cm X 29-cm X 19-cm, WEIGHT - 0.58 kg, WARRANTY – 1 Year under Manufacturing Defect Only.",B07QL8633G,AirCase
Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue,https://www.amazon.in/Arctic-Fox-Backpack-Charging-Laptop/dp/B089QBD333/ref=sr_1_68?keywords=bags&qid=1690393321&sr=8-68,512.0,4.3,19.0,"This Anti-Theft Backpack apply anti-theft design technology. Zipper of main pocket is fully hidden in the back of this bag ,no theft will easily open your backpack.    USB Charge External USB port with built-in charging cable offers a convenient charging of your electronic device anywhere, and this bag do not include a battery, you need a power bank to charge it    Spacious compartment -- Power bank port -- Water Bottle Pouch    This Backpack is made of Water Repellent Fabric so now you can travel carefree without worrying about water splashes or rain.    Size: HxWxD : 47x29x17 CM, Capacity (Liters): 23",B089QBD333,Arctic Fox
FUR JADEN Anti Theft Backpack 15.6 Inch Laptop,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDY5NjMyOTI5NjE2MjEyOjE2OTAzOTMzMjI6c3BfYnRmOjIwMTYyNTQzNzA3MDk4OjowOjo&url=%2FWALKENT-Stylish-Spruce-Waterprrof-Resistant%2Fdp%2FB0BJ982TQN%2Fref%3Dsr_1_69_sspa%3Fkeywords%3Dbags%26qid%3D1690393321%26sr%3D8-69-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,979.0,4.4,33.0,,,
with USB Charging Port For Men Women Boys Girls,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDY5NjMyOTI5NjE2MjEyOjE2OTAzOTMzMjI6c3BfYnRmOjIwMDk3NjEyMjMxNjk4OjowOjo&url=%2Fuppercase-Backpack-1800EBP1-resistant-sustainable%2Fdp%2FB0B9T4YDPX%2Fref%3Dsr_1_70_sspa%3Fkeywords%3Dbags%26qid%3D1690393321%26sr%3D8-70-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,550.0,4.1,1459.0,Care Instructions: Wipe with Damp Cloth    Handcrafted with care and made up of premium quality robust material,,
